id	argVar	pvform	lemma	pvv	mood	cau	pot	acc	VAL	BA
bevons1w15	2	be	von	be+von	ind	-	-	1	0	1
bevons2w10	2	be	von	be+von	ind	-	-	1	0	1
bevons3w4	2	be	von	be+von	ind	-	-	1	0	1
bevons4w4	2	be	von	be+von	ind	-	-	1	0	1
bevons8w17	2	be	von	be+von	ind	-	-	1	0	1
bevons10w14	1	be	von	be+von	ind	-	-	0	1	0
bevons12w15	2	be	von	be+von	ind	-	-	1	0	1
bevons14w18	2	be	von	be+von	ind	-	-	1	0	1
bevons16w17	2	be	von	be+von	ind	-	-	1	0	1
bevons19w3	2	be	von	be+von	ind	-	-	1	0	1
bevons20w13	2	be	von	be+von	ind	-	-	1	0	1
bevons22w9	2	be	von	be+von	ind	-	-	1	0	1
bevons23w6	2	be	von	be+von	ind	-	-	1	0	1
bevons24w8	1	be	von	be+von	ind	-	-	1	1	0
bevons25w9	1	be	von	be+von	ind	-	-	1	1	0
bevons27w4	2	be	von	be+von	ind	-	-	1	0	1
bevons28w6	2	be	von	be+von	ind	-	-	1	0	0
bevons30w16	2	be	von	be+von	ind	-	-	1	0	1
bevons33w11	2	be	von	be+von	ind	-	-	1	0	1
bevons34w9	2	be	von	be+von	ind	-	-	1	0	1
bevons36w10	2	be	von	be+von	ind	-	-	1	0	1
bevons37w7	2	be	von	be+von	ind	-	-	1	0	0
bevons38w12	2	be	von	be+von	ind	-	-	1	0	1
bevons40w3	2	be	von	be+von	ind	-	-	1	0	1
bevons43w10	2	be	von	be+von	ind	-	-	0	0	1
bevons50w4	2	be	von	be+von	ind	-	-	1	0	1
bevons51w10	2	be	von	be+von	ind	-	-	1	0	1
bevons55w5	2	be	von	be+von	ind	-	-	1	0	1
bevons56w5	2	be	von	be+von	ind	-	-	0	0	0
bevons60w5	1	be	von	be+von	ind	-	-	1	0	0
bevons61w12	2	be	von	be+von	ind	-	-	1	0	1
bevons62w13	2	be	von	be+von	ind	-	-	1	0	1
bevons63w13	2	be	von	be+von	ind	-	-	1	0	1
bevons64w13	2	be	von	be+von	ind	-	-	1	0	1
bevons77w15	1	be	von	be+von	ind	-	-	1	1	0
bevons78w5	2	be	von	be+von	ind	-	-	0	0	0
bevons80w20	2	be	von	be+von	ind	-	-	1	0	1
bevons81w10	2	be	von	be+von	ind	-	-	1	0	1
bevons82w7	2	be	von	be+von	ind	-	-	1	0	1
bevons83w6	2	be	von	be+von	ind	-	-	1	0	1
bevons86w4	2	be	von	be+von	ind	-	-	0	0	1
bevons87w10	2	be	von	be+von	ind	-	-	1	0	1
bevons88w15	1	be	von	be+von	ind	-	-	1	1	0
bevons93w17	2	be	von	be+von	ind	-	-	0	0	1
bevons94w5	2	be	von	be+von	ind	-	-	1	0	1
bevons96w10	2	be	von	be+von	ind	-	-	1	0	1
bevons98w7	2	be	von	be+von	ind	-	-	1	0	1
bevons99w10	2	be	von	be+von	ind	-	-	1	0	1
bevons101w12	2	be	von	be+von	ind	-	-	1	0	1
bevons102w8	2	be	von	be+von	ind	-	-	0	0	1
bevons105w7	2	be	von	be+von	ind	-	-	1	0	1
bevons106w12	2	be	von	be+von	ind	-	-	1	0	1
bevons107w6	2	be	von	be+von	ind	-	-	1	0	1
bevons108w15	2	be	von	be+von	ind	-	-	1	0	1
bevons109w9	2	be	von	be+von	ind	-	-	1	0	1
bevons111w7	1	be	von	be+von	ind	-	-	1	1	0
bevons113w5	1	be	von	be+von	ind	-	-	1	1	0
bevons114w8	2	be	von	be+von	ind	-	-	1	0	1
bevons116w7	2	be	von	be+von	ind	-	-	1	0	1
bevons117w6	1	be	von	be+von	ind	-	-	1	1	0
bevons126w10	2	be	von	be+von	ind	-	-	1	0	1
bevons128w13	2	be	von	be+von	ind	-	-	1	0	1
bevons131w18	2	be	von	be+von	ind	-	-	1	0	1
bevons134w5	2	be	von	be+von	ind	-	-	0	0	1
bevons135w14	2	be	von	be+von	ind	-	-	1	0	1
bevons137w13	2	be	von	be+von	ind	-	-	1	0	1
bevons138w15	2	be	von	be+von	ind	-	-	1	0	0
bevons141w10	2	be	von	be+von	ind	-	-	1	0	1
bevons142w8	2	be	von	be+von	ind	-	-	1	0	0
bevons144w3	2	be	von	be+von	ind	-	-	1	0	1
bevons145w5	2	be	von	be+von	ind	-	-	1	0	1
bevons149w6	2	be	von	be+von	ind	-	-	1	0	1
bevons154w4	2	be	von	be+von	ind	-	-	1	0	1
bevons156w14	2	be	von	be+von	ind	-	-	1	0	1
bevons157w7	2	be	von	be+von	ind	-	-	1	0	1
bevons158w6	2	be	von	be+von	ind	-	-	1	0	1
bevons159w3	2	be	von	be+von	ind	-	-	1	0	1
bevons160w5	2	be	von	be+von	ind	-	-	1	0	1
bevons166w7	2	be	von	be+von	ind	-	-	0	0	1
bevons167w17	2	be	von	be+von	ind	-	-	1	0	0
bevons169w13	2	be	von	be+von	ind	-	-	1	0	1
bevons173w10	2	be	von	be+von	ind	-	-	1	0	1
bevons175w6	2	be	von	be+von	ind	-	-	1	0	1
bevons176w19	2	be	von	be+von	ind	-	-	1	0	1
bevons178w7	2	be	von	be+von	ind	-	-	1	0	1
bevons181w8	2	be	von	be+von	ind	-	-	1	0	0
bevons182w14	2	be	von	be+von	ind	-	-	1	0	0
bevons185w4	2	be	von	be+von	ind	-	-	1	0	1
bevons186w10	2	be	von	be+von	ind	-	-	1	0	1
bevons187w13	2	be	von	be+von	ind	-	-	1	0	1
bevons189w8	2	be	von	be+von	ind	-	-	0	0	1
bevons190w5	2	be	von	be+von	ind	-	-	1	0	1
bevons192w10	2	be	von	be+von	ind	-	-	1	0	1
bevons193w7	1	be	von	be+von	ind	-	-	1	1	0
bevons195w9	2	be	von	be+von	ind	-	-	1	0	1
bevons196w7	2	be	von	be+von	ind	-	-	1	0	1
bevons198w5	1	be	von	be+von	ind	-	-	1	1	0
bevons201w8	2	be	von	be+von	ind	-	-	1	0	1
bevons202w4	1	be	von	be+von	ind	-	-	1	1	0
bevons203w7	2	be	von	be+von	ind	-	-	1	0	1
bevons204w10	2	be	von	be+von	ind	-	-	1	0	1
bevons205w15	2	be	von	be+von	ind	-	-	1	0	1
bevons207w6	2	be	von	be+von	ind	-	-	1	0	1
bevons208w20	2	be	von	be+von	ind	-	-	1	0	1
bevons209w7	2	be	von	be+von	ind	-	-	1	0	1
bevons211w9	2	be	von	be+von	ind	-	-	1	0	1
bevons215w6	2	be	von	be+von	ind	-	-	1	0	1
bevons221w12	2	be	von	be+von	ind	-	-	1	0	0
bevons224w6	1	be	von	be+von	ind	-	-	1	1	0
bevons227w11	2	be	von	be+von	ind	-	-	1	0	0
bevons228w8	2	be	von	be+von	ind	-	-	1	0	1
bevons232w26	2	be	von	be+von	ind	-	-	1	0	1
bevons234w6	2	be	von	be+von	ind	-	-	1	0	1
bevons239w16	2	be	von	be+von	ind	-	-	1	0	1
bevons240w11	1	be	von	be+von	ind	-	-	1	1	0
bevons242w13	2	be	von	be+von	ind	-	-	1	0	1
