id	argVar	pvform	lemma	pvv	mood	cau	pot	acc	dat
hívs1w7	2	0	hív	0+hív	ind	-	-	1	1
hívs2w18	1	0	hív	0+hív	ind	-	-	1	0
hívs6w9	1	0	hív	0+hív	ind	-	-	1	0
hívs7w11	2	0	hív	0+hív	ind	-	-	1	1
hívs8w3	2	0	hív	0+hív	ind	-	-	1	1
hívs11w6	1	0	hív	0+hív	ind	-	-	1	0
hívs13w3	1	0	hív	0+hív	ind	-	-	1	0
hívs14w4	2	0	hív	0+hív	ind	-	-	1	1
hívs15w6	1	0	hív	0+hív	ind	-	-	1	0
hívs16w4	2	0	hív	0+hív	ind	-	-	1	1
hívs17w14	2	0	hív	0+hív	ind	-	-	1	0
hívs22w18	1	0	hív	0+hív	ind	-	-	1	0
hívs24w9	1	0	hív	0+hív	ind	-	-	1	0
hívs26w15	1	0	hív	0+hív	ind	-	-	1	0
hívs27w7	1	0	hív	0+hív	ind	-	-	1	0
hívs28w5	1	0	hív	0+hív	ind	-	-	1	0
hívs29w6	2	0	hív	0+hív	ind	-	-	0	1
hívs30w20	1	0	hív	0+hív	ind	-	-	1	0
hívs31w5	2	0	hív	0+hív	ind	-	-	1	1
hívs32w10	2	0	hív	0+hív	ind	-	-	1	1
hívs33w8	1	0	hív	0+hív	ind	-	-	1	0
hívs34w14	2	0	hív	0+hív	ind	-	-	1	1
hívs35w6	2	0	hív	0+hív	ind	-	-	1	1
hívs36w5	1	0	hív	0+hív	ind	-	-	1	0
hívs37w4	2	0	hív	0+hív	ind	-	-	1	1
hívs39w4	2	0	hív	0+hív	ind	-	-	1	1
hívs41w7	2	0	hív	0+hív	ind	-	-	0	1
hívs42w9	2	0	hív	0+hív	ind	-	-	0	1
hívs44w12	2	0	hív	0+hív	ind	-	-	1	1
hívs45w11	1	0	hív	0+hív	ind	-	-	1	0
hívs46w10	2	0	hív	0+hív	ind	-	-	1	1
hívs48w11	2	0	hív	0+hív	ind	-	-	1	1
hívs49w13	1	0	hív	0+hív	ind	-	-	1	0
hívs50w11	2	0	hív	0+hív	ind	-	-	1	1
hívs51w4	2	0	hív	0+hív	ind	-	-	1	1
hívs52w13	1	0	hív	0+hív	ind	-	-	1	0
hívs53w8	2	0	hív	0+hív	ind	-	-	1	1
hívs54w20	2	0	hív	0+hív	ind	-	-	1	0
hívs56w9	1	0	hív	0+hív	ind	-	-	1	0
hívs57w12	2	0	hív	0+hív	ind	-	-	1	1
hívs58w17	2	0	hív	0+hív	ind	-	-	1	1
hívs59w4	2	0	hív	0+hív	ind	-	-	0	0
hívs60w5	1	0	hív	0+hív	ind	-	-	1	0
hívs61w4	1	0	hív	0+hív	ind	-	-	0	0
hívs62w5	2	0	hív	0+hív	ind	-	-	1	1
hívs63w5	2	0	hív	0+hív	ind	-	-	1	1
hívs64w10	2	0	hív	0+hív	ind	-	-	1	1
hívs65w4	2	0	hív	0+hív	ind	-	-	1	1
hívs66w6	2	0	hív	0+hív	ind	-	-	1	1
hívs67w4	2	0	hív	0+hív	ind	-	-	0	0
hívs69w10	1	0	hív	0+hív	ind	-	-	1	0
hívs70w5	2	0	hív	0+hív	ind	-	-	0	1
hívs72w16	1	0	hív	0+hív	ind	-	-	1	0
hívs73w4	1	0	hív	0+hív	ind	-	-	1	0
hívs74w12	1	0	hív	0+hív	ind	-	-	1	0
hívs75w7	2	0	hív	0+hív	ind	-	-	1	1
hívs76w10	1	0	hív	0+hív	ind	-	-	1	0
hívs77w7	2	0	hív	0+hív	ind	-	-	1	1
hívs78w12	2	0	hív	0+hív	ind	-	-	1	1
hívs80w10	2	0	hív	0+hív	ind	-	-	1	1
hívs81w15	2	0	hív	0+hív	ind	-	-	1	1
hívs82w7	2	0	hív	0+hív	ind	-	-	1	1
hívs84w7	1	0	hív	0+hív	ind	-	-	1	0
hívs85w6	2	0	hív	0+hív	ind	-	-	1	1
hívs86w5	2	0	hív	0+hív	ind	-	-	1	1
hívs87w5	2	0	hív	0+hív	ind	-	-	1	1
hívs88w3	1	0	hív	0+hív	ind	-	-	0	0
hívs89w5	2	0	hív	0+hív	ind	-	-	0	1
hívs90w8	2	0	hív	0+hív	ind	-	-	1	0
hívs91w9	1	0	hív	0+hív	ind	-	-	1	0
hívs92w4	1	0	hív	0+hív	ind	-	-	1	0
hívs93w4	2	0	hív	0+hív	ind	-	-	1	1
hívs95w5	2	0	hív	0+hív	ind	-	-	1	1
hívs97w6	1	0	hív	0+hív	ind	-	-	1	0
hívs98w10	1	0	hív	0+hív	ind	-	-	1	0
hívs99w7	1	0	hív	0+hív	ind	-	-	1	0
hívs101w20	1	0	hív	0+hív	ind	-	-	1	0
hívs102w7	2	0	hív	0+hív	ind	-	-	1	1
hívs107w5	2	0	hív	0+hív	ind	-	-	1	1
hívs109w9	1	0	hív	0+hív	ind	-	-	1	0
hívs110w5	2	0	hív	0+hív	ind	-	-	1	1
hívs111w6	2	0	hív	0+hív	ind	-	-	1	1
hívs112w4	2	0	hív	0+hív	ind	-	-	1	1
hívs113w8	2	0	hív	0+hív	ind	-	-	1	1
hívs116w9	1	0	hív	0+hív	ind	-	-	1	0
hívs118w5	2	0	hív	0+hív	ind	-	-	0	1
hívs119w4	1	0	hív	0+hív	ind	-	-	0	0
hívs120w5	1	0	hív	0+hív	ind	-	-	1	0
hívs124w18	2	0	hív	0+hív	ind	-	-	1	1
hívs125w12	1	0	hív	0+hív	ind	-	-	1	0
hívs127w6	2	0	hív	0+hív	ind	-	-	1	1
hívs129w6	2	0	hív	0+hív	ind	-	-	1	1
hívs130w6	2	0	hív	0+hív	ind	-	-	1	1
hívs131w10	2	0	hív	0+hív	ind	-	-	1	1
hívs132w3	2	0	hív	0+hív	ind	-	-	1	1
hívs133w17	1	0	hív	0+hív	ind	-	-	1	0
hívs134w4	2	0	hív	0+hív	ind	-	-	1	1
hívs135w6	1	0	hív	0+hív	ind	-	-	1	0
hívs138w3	1	0	hív	0+hív	ind	-	-	1	0
hívs139w5	2	0	hív	0+hív	ind	-	-	1	0
hívs140w4	2	0	hív	0+hív	ind	-	-	1	1
hívs141w5	2	0	hív	0+hív	ind	-	-	0	1
hívs142w7	1	0	hív	0+hív	ind	-	-	0	0
hívs143w8	1	0	hív	0+hív	ind	-	-	1	0
hívs144w6	2	0	hív	0+hív	ind	-	-	0	1
hívs146w16	1	0	hív	0+hív	ind	-	-	1	0
hívs147w5	1	0	hív	0+hív	ind	-	-	1	0
hívs148w3	2	0	hív	0+hív	ind	-	-	1	1
hívs149w5	2	0	hív	0+hív	ind	-	-	1	1
hívs150w7	1	0	hív	0+hív	ind	-	-	1	0
hívs151w10	1	0	hív	0+hív	ind	-	-	1	0
hívs154w7	1	0	hív	0+hív	ind	-	-	1	0
hívs155w4	2	0	hív	0+hív	ind	-	-	1	1
hívs156w9	1	0	hív	0+hív	ind	-	-	1	0
hívs157w8	1	0	hív	0+hív	ind	-	-	1	0
hívs159w5	1	0	hív	0+hív	ind	-	-	1	0
hívs160w3	1	0	hív	0+hív	ind	-	-	0	0
hívs161w6	2	0	hív	0+hív	ind	-	-	1	1
hívs163w5	1	0	hív	0+hív	ind	-	-	0	0
hívs164w5	2	0	hív	0+hív	ind	-	-	0	1
hívs165w3	1	0	hív	0+hív	ind	-	-	0	0
hívs166w4	2	0	hív	0+hív	ind	-	-	0	1
hívs168w4	2	0	hív	0+hív	ind	-	-	0	0
hívs170w9	2	0	hív	0+hív	ind	-	-	1	1
hívs172w19	2	0	hív	0+hív	ind	-	-	1	1
hívs174w5	1	0	hív	0+hív	ind	-	-	1	0
hívs177w3	2	0	hív	0+hív	ind	-	-	0	1
hívs178w3	2	0	hív	0+hív	ind	-	-	0	1
hívs179w2	2	0	hív	0+hív	ind	-	-	0	1
hívs180w3	2	0	hív	0+hív	ind	-	-	0	1
hívs181w2	2	0	hív	0+hív	ind	-	-	0	1
hívs183w2	2	0	hív	0+hív	ind	-	-	0	1
hívs184w15	2	0	hív	0+hív	ind	-	-	1	1
hívs185w4	2	0	hív	0+hív	ind	-	-	1	1
hívs187w10	1	0	hív	0+hív	ind	-	-	1	0
hívs189w5	2	0	hív	0+hív	ind	-	-	0	1
hívs192w18	1	0	hív	0+hív	ind	-	-	1	0
hívs193w8	1	0	hív	0+hív	ind	-	-	1	0
hívs195w8	2	0	hív	0+hív	ind	-	-	1	1
hívs196w6	1	0	hív	0+hív	ind	-	-	1	0
hívs197w8	1	0	hív	0+hív	ind	-	-	1	0
hívs198w4	1	0	hív	0+hív	ind	-	-	1	0
hívs199w13	2	0	hív	0+hív	ind	-	-	1	1
hívs201w4	1	0	hív	0+hív	ind	-	-	0	0
hívs202w6	1	0	hív	0+hív	ind	-	-	1	0
hívs203w4	2	0	hív	0+hív	ind	-	-	0	1
hívs205w4	2	0	hív	0+hív	ind	-	-	0	1
hívs206w10	2	0	hív	0+hív	ind	-	-	1	0
hívs208w4	2	0	hív	0+hív	ind	-	-	0	1
hívs209w15	2	0	hív	0+hív	ind	-	-	1	1
hívs213w6	2	0	hív	0+hív	ind	-	-	1	1
hívs214w5	2	0	hív	0+hív	ind	-	-	1	1
hívs215w7	1	0	hív	0+hív	ind	-	-	1	0
hívs216w7	2	0	hív	0+hív	ind	-	-	1	1
hívs218w7	2	0	hív	0+hív	ind	-	-	1	1
hívs219w6	2	0	hív	0+hív	ind	-	-	1	1
hívs220w9	1	0	hív	0+hív	ind	-	-	1	0
hívs221w4	2	0	hív	0+hív	ind	-	-	1	1
hívs222w5	2	0	hív	0+hív	ind	-	-	1	1
hívs223w5	2	0	hív	0+hív	ind	-	-	1	1
hívs224w4	2	0	hív	0+hív	ind	-	-	1	1
hívs225w4	1	0	hív	0+hív	ind	-	-	0	0
hívs226w4	2	0	hív	0+hív	ind	-	-	0	1
hívs228w3	1	0	hív	0+hív	ind	-	-	1	0
hívs229w15	1	0	hív	0+hív	ind	-	-	1	0
hívs231w7	1	0	hív	0+hív	ind	-	-	1	0
hívs232w8	2	0	hív	0+hív	ind	-	-	1	1
hívs235w15	1	0	hív	0+hív	ind	-	-	1	0
hívs236w3	2	0	hív	0+hív	ind	-	-	0	1
hívs238w2	2	0	hív	0+hív	ind	-	-	1	1
hívs239w13	2	0	hív	0+hív	ind	-	-	1	1
hívs242w5	2	0	hív	0+hív	ind	-	-	1	1
hívs243w10	2	0	hív	0+hív	ind	-	-	1	1
hívs244w13	2	0	hív	0+hív	ind	-	-	0	1
hívs245w3	2	0	hív	0+hív	ind	-	-	0	1
hívs246w2	2	0	hív	0+hív	ind	-	-	0	1
hívs247w3	1	0	hív	0+hív	ind	-	-	0	0
hívs248w6	2	0	hív	0+hív	ind	-	-	1	1
hívs249w4	1	0	hív	0+hív	ind	-	-	0	0
hívs250w3	2	0	hív	0+hív	ind	-	-	0	1
hívs251w3	2	0	hív	0+hív	ind	-	-	0	1
hívs252w3	2	0	hív	0+hív	ind	-	-	0	1
hívs253w3	2	0	hív	0+hív	ind	-	-	0	1
hívs254w3	2	0	hív	0+hív	ind	-	-	0	1
hívs255w4	2	0	hív	0+hív	ind	-	-	1	1
hívs256w2	2	0	hív	0+hív	ind	-	-	0	1
hívs258w4	1	0	hív	0+hív	ind	-	-	1	0
hívs260w2	2	0	hív	0+hív	ind	-	-	0	1
hívs261w3	2	0	hív	0+hív	ind	-	-	1	1
hívs262w13	1	0	hív	0+hív	ind	-	-	1	0
hívs263w6	2	0	hív	0+hív	ind	-	-	0	1
hívs267w3	2	0	hív	0+hív	ind	-	-	0	1
hívs268w3	2	0	hív	0+hív	ind	-	-	0	1
hívs270w3	2	0	hív	0+hív	ind	-	-	0	1
hívs272w3	2	0	hív	0+hív	ind	-	-	0	1
hívs273w3	2	0	hív	0+hív	ind	-	-	0	1
hívs274w7	1	0	hív	0+hív	ind	-	-	1	0
hívs275w3	1	0	hív	0+hív	ind	-	-	1	0
hívs276w2	2	0	hív	0+hív	ind	-	-	0	1
hívs278w4	2	0	hív	0+hív	ind	-	-	0	1
hívs281w2	2	0	hív	0+hív	ind	-	-	0	1
hívs282w12	1	0	hív	0+hív	ind	-	-	0	0
hívs283w3	1	0	hív	0+hív	ind	-	-	1	0
hívs285w4	2	0	hív	0+hív	ind	-	-	1	1
hívs286w8	1	0	hív	0+hív	ind	-	-	0	0
hívs288w4	1	0	hív	0+hív	ind	-	-	0	0
hívs290w9	1	0	hív	0+hív	ind	-	-	1	0
hívs291w13	2	0	hív	0+hív	ind	-	-	1	1
hívs292w4	1	0	hív	0+hív	ind	-	-	1	0
hívs293w3	2	0	hív	0+hív	ind	-	-	0	1
hívs294w6	2	0	hív	0+hív	ind	-	-	0	1
hívs295w6	2	0	hív	0+hív	ind	-	-	0	1
hívs296w6	1	0	hív	0+hív	ind	-	-	1	0
hívs297w7	1	0	hív	0+hív	ind	-	-	1	0
hívs299w4	1	0	hív	0+hív	ind	-	-	1	0
hívs300w3	2	0	hív	0+hív	ind	-	-	0	1
hívs301w7	1	0	hív	0+hív	ind	-	-	1	0
hívs303w5	1	0	hív	0+hív	ind	-	-	1	0
hívs304w3	2	0	hív	0+hív	ind	-	-	0	1
hívs305w6	1	0	hív	0+hív	ind	-	-	1	0
hívs306w6	2	0	hív	0+hív	ind	-	-	1	1
hívs307w3	2	0	hív	0+hív	ind	-	-	0	1
hívs308w6	1	0	hív	0+hív	ind	-	-	1	0
hívs310w2	2	0	hív	0+hív	ind	-	-	0	1
hívs311w2	2	0	hív	0+hív	ind	-	-	0	1
hívs314w10	2	0	hív	0+hív	ind	-	-	1	1
hívs315w5	1	0	hív	0+hív	ind	-	-	1	0
hívs316w2	2	0	hív	0+hív	ind	-	-	0	1
hívs317w2	2	0	hív	0+hív	ind	-	-	0	1
hívs318w16	2	0	hív	0+hív	ind	-	-	1	1
hívs319w19	2	0	hív	0+hív	ind	-	-	1	1
hívs320w5	1	0	hív	0+hív	ind	-	-	1	0
hívs322w9	2	0	hív	0+hív	ind	-	-	1	1
hívs323w4	2	0	hív	0+hív	ind	-	-	0	1
hívs324w3	1	0	hív	0+hív	ind	-	-	1	0
hívs326w3	2	0	hív	0+hív	ind	-	-	0	1
hívs327w4	1	0	hív	0+hív	ind	-	-	1	0
hívs328w3	2	0	hív	0+hív	ind	-	-	0	1
hívs329w2	1	0	hív	0+hív	ind	-	-	1	0
hívs330w4	2	0	hív	0+hív	ind	-	-	0	1
hívs332w3	2	0	hív	0+hív	ind	-	-	0	1
hívs334w4	2	0	hív	0+hív	ind	-	-	0	1
hívs335w8	1	0	hív	0+hív	ind	-	-	0	0
hívs336w3	2	0	hív	0+hív	ind	-	-	0	1
hívs337w3	2	0	hív	0+hív	ind	-	-	0	1
hívs338w3	1	0	hív	0+hív	ind	-	-	1	0
hívs340w7	1	0	hív	0+hív	ind	-	-	1	0
hívs342w2	1	0	hív	0+hív	ind	-	-	1	0
hívs346w3	2	0	hív	0+hív	ind	-	-	0	1
hívs347w4	1	0	hív	0+hív	ind	-	-	0	0
hívs349w2	2	0	hív	0+hív	ind	-	-	0	1
hívs350w6	2	0	hív	0+hív	ind	-	-	0	1
hívs353w3	2	0	hív	0+hív	ind	-	-	0	1
hívs354w5	2	0	hív	0+hív	ind	-	-	0	1
hívs356w4	1	0	hív	0+hív	ind	-	-	1	0
hívs357w3	2	0	hív	0+hív	ind	-	-	0	1
hívs358w6	1	0	hív	0+hív	ind	-	-	0	0
hívs359w10	2	0	hív	0+hív	ind	-	-	1	1
hívs360w2	1	0	hív	0+hív	ind	-	-	1	0
hívs361w3	2	0	hív	0+hív	ind	-	-	0	1
hívs363w2	1	0	hív	0+hív	ind	-	-	1	0
hívs366w9	2	0	hív	0+hív	ind	-	-	1	1
hívs368w7	2	0	hív	0+hív	ind	-	-	0	1
hívs369w7	2	0	hív	0+hív	ind	-	-	1	1
hívs370w3	2	0	hív	0+hív	ind	-	-	0	1
hívs372w2	1	0	hív	0+hív	ind	-	-	1	0
hívs373w3	1	0	hív	0+hív	ind	-	-	1	0
hívs374w5	1	0	hív	0+hív	ind	-	-	1	0
hívs375w6	2	0	hív	0+hív	ind	-	-	0	1
hívs376w5	2	0	hív	0+hív	ind	-	-	0	1
hívs380w3	2	0	hív	0+hív	ind	-	-	0	0
hívs381w4	1	0	hív	0+hív	ind	-	-	1	0
hívs382w2	1	0	hív	0+hív	ind	-	-	1	0
hívs385w2	2	0	hív	0+hív	ind	-	-	0	1
hívs386w7	1	0	hív	0+hív	ind	-	-	1	0
hívs387w11	2	0	hív	0+hív	ind	-	-	1	1
hívs388w8	2	0	hív	0+hív	ind	-	-	1	1
hívs389w12	2	0	hív	0+hív	ind	-	-	0	0
hívs391w9	1	0	hív	0+hív	ind	-	-	1	0
