id	argVar	pvform	lemma	pvv	mood	cau	pot	BA	BAN	BÓL	RA	ON	RÓL	HOZ	NÁL	TÓL
készüls3w14	1	0	készül	0+készül	ind	-	-	0	0	1	0	0	0	0	0	0
készüls4w25	2	0	készül	0+készül	ind	-	-	0	0	1	1	0	0	0	0	0
készüls5w8	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls7w12	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls8w6	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls9w7	1	0	készül	0+készül	ind	-	-	0	0	1	0	0	0	0	0	0
készüls12w8	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls13w6	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls14w17	2	0	készül	0+készül	ind	-	-	0	0	1	1	0	0	0	0	0
készüls16w17	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls24w18	1	0	készül	0+készül	ind	-	-	0	0	1	0	0	0	0	0	0
készüls26w10	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls28w6	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls30w12	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls32w9	1	0	készül	0+készül	ind	-	-	0	0	1	0	0	0	0	0	0
készüls33w9	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls34w9	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls35w4	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls36w5	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls37w18	1	0	készül	0+készül	ind	-	-	0	0	1	0	0	0	0	0	0
készüls39w8	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls41w9	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls45w5	1	0	készül	0+készül	ind	-	-	0	0	1	0	0	0	0	0	0
készüls46w10	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls47w10	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls48w11	1	0	készül	0+készül	ind	-	-	0	0	0	0	0	0	0	0	0
készüls57w17	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls58w5	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls64w7	2	0	készül	0+készül	ind	-	-	0	0	0	1	1	0	0	1	0
készüls65w6	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls67w7	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls68w10	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls69w8	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls70w5	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls71w8	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls74w14	1	0	készül	0+készül	ind	-	-	0	1	0	0	0	0	0	0	0
készüls77w6	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls80w7	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls81w7	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls82w11	1	0	készül	0+készül	ind	-	-	0	0	0	0	0	0	0	0	0
készüls85w6	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls86w9	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls87w8	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls88w5	1	0	készül	0+készül	ind	-	-	0	0	1	0	0	0	0	0	0
készüls90w21	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls91w9	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls92w13	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls94w6	2	0	készül	0+készül	ind	-	-	0	1	0	0	0	0	0	0	0
