id	argVar	pvform	lemma	pvv	mood	cau	pot	dat	BA	BAN	BÓL	RA	ON	RÓL	HOZ	NÁL	TÓL
meséls1w4	1	0	mesél	0+mesél	ind	-	-	0	0	1	0	0	0	1	0	0	0
meséls2w7	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls6w22	1	0	mesél	0+mesél	ind	-	-	0	1	0	0	0	0	1	0	0	0
meséls8w14	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	1	1	0	0	0
meséls9w13	1	0	mesél	0+mesél	ind	-	-	1	0	0	0	0	0	0	0	0	0
meséls11w8	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls13w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls18w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls20w5	1	0	mesél	0+mesél	ind	-	-	1	0	0	0	0	0	0	0	0	0
meséls27w16	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	1	0	0	0	0
meséls28w6	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls39w7	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls41w7	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls42w11	1	0	mesél	0+mesél	ind	-	-	0	0	1	0	0	0	1	0	0	0
meséls43w7	1	0	mesél	0+mesél	ind	-	-	0	0	1	0	0	0	0	0	0	0
meséls48w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls50w8	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls53w3	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls54w4	1	0	mesél	0+mesél	ind	-	-	1	0	0	0	0	0	1	0	0	0
meséls55w11	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls56w6	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls57w15	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	1	1	0	0	0
meséls59w4	1	0	mesél	0+mesél	ind	-	-	1	0	0	0	0	0	0	0	0	0
meséls60w10	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls61w23	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls62w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls66w5	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls69w7	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls70w5	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls71w8	1	0	mesél	0+mesél	ind	-	-	0	1	0	0	0	1	1	0	0	0
meséls72w16	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	1	1	0	0	0
meséls74w8	1	0	mesél	0+mesél	ind	-	-	1	0	1	0	0	0	0	0	0	0
meséls79w7	1	0	mesél	0+mesél	ind	-	-	1	0	0	0	0	0	1	0	0	0
meséls80w6	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls85w7	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	1
meséls87w6	1	0	mesél	0+mesél	ind	-	-	1	0	0	0	0	0	1	0	0	0
meséls88w5	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls89w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls91w5	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls96w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls97w2	1	0	mesél	0+mesél	ind	-	-	1	0	0	0	0	0	0	0	0	0
meséls98w13	1	0	mesél	0+mesél	ind	-	-	0	0	1	0	0	0	1	0	0	0
meséls104w5	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls107w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls108w7	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls109w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls113w6	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls114w11	1	0	mesél	0+mesél	ind	-	-	1	0	0	0	0	0	0	0	0	0
meséls116w7	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls117w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls119w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls123w5	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls126w3	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls127w9	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls129w6	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls134w3	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls135w9	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls136w10	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls138w7	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls139w5	1	0	mesél	0+mesél	ind	-	-	0	0	1	0	0	0	0	0	0	0
meséls149w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls152w6	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls153w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls160w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls162w13	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls166w5	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls167w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls169w5	1	0	mesél	0+mesél	ind	-	-	0	1	0	0	0	0	1	0	0	0
meséls175w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls193w18	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls195w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls197w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls202w4	1	0	mesél	0+mesél	ind	-	-	0	1	0	0	0	0	1	0	0	0
meséls205w2	1	0	mesél	0+mesél	ind	-	-	1	0	0	0	0	0	1	0	0	0
meséls206w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls210w4	1	0	mesél	0+mesél	ind	-	-	1	0	1	0	0	0	0	0	0	0
meséls212w8	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls215w5	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls218w13	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls223w6	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls226w6	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls235w3	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls246w3	1	0	mesél	0+mesél	ind	-	-	1	0	0	0	0	0	0	0	0	0
meséls249w13	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls250w12	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	1	1	0	0	0
meséls252w10	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls255w3	1	0	mesél	0+mesél	ind	-	-	1	0	0	0	0	0	0	0	0	0
meséls257w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls260w5	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls262w5	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls263w5	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls267w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls268w5	1	0	mesél	0+mesél	ind	-	-	1	0	0	0	0	0	1	0	0	0
meséls269w9	1	0	mesél	0+mesél	ind	-	-	0	0	1	0	0	0	1	0	0	0
meséls271w6	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls272w8	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls275w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls276w5	1	0	mesél	0+mesél	ind	-	-	1	0	0	0	0	0	0	0	0	0
meséls277w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls287w6	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls290w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls293w3	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls296w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls298w3	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls299w3	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls305w5	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls313w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls314w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls315w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls326w6	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls335w7	1	0	mesél	0+mesél	ind	-	-	1	0	0	0	0	1	0	0	0	0
meséls347w3	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls348w3	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls350w5	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls357w3	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
