Az 0+mesél ige korpuszgyakorisági adatai
Az ige elõfordulási száma: 302
A variánsok elõfordulási száma és gyakorisága
1 variáns:	302	1.0

Az argumentumtípusok elõfordulási számai és együttelõfordulási számai.
	-	dat	BA	BAN	BÓL	RA	ON	RÓL	HOZ	NÁL	TÓL
dat	33.0	33.0	0.0	4.0	0.0	0.0	2.0	7.0	0.0	0.0	0.0
BA	4.0	0.0	4.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0
BAN	21.0	4.0	0.0	21.0	0.0	0.0	1.0	9.0	0.0	0.0	1.0
BÓL	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
RA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ON	13.0	2.0	1.0	1.0	0.0	0.0	13.0	8.0	0.0	0.0	0.0
RÓL	157.0	7.0	4.0	9.0	0.0	0.0	8.0	157.0	0.0	0.0	1.0
HOZ	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NÁL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TÓL	2.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0

Az argumentumtípusok elõfordulási gyakorisága és együttelõfordulási gyakoriságai.
	-	dat	BA	BAN	BÓL	RA	ON	RÓL	HOZ	NÁL	TÓL
dat	0.10927152317880795	0.10927152317880795	0.0	0.013245033112582781	0.0	0.0	0.006622516556291391	0.023178807947019868	0.0	0.0	0.0
BA	0.013245033112582781	0.0	0.013245033112582781	0.0	0.0	0.0	0.0033112582781456954	0.013245033112582781	0.0	0.0	0.0
BAN	0.0695364238410596	0.013245033112582781	0.0	0.0695364238410596	0.0	0.0	0.0033112582781456954	0.029801324503311258	0.0	0.0	0.0033112582781456954
BÓL	0.006622516556291391	0.0	0.0	0.0	0.006622516556291391	0.0	0.0	0.0	0.0	0.0	0.0
RA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ON	0.04304635761589404	0.006622516556291391	0.0033112582781456954	0.0033112582781456954	0.0	0.0	0.04304635761589404	0.026490066225165563	0.0	0.0	0.0
RÓL	0.5198675496688742	0.023178807947019868	0.013245033112582781	0.029801324503311258	0.0	0.0	0.026490066225165563	0.5198675496688742	0.0	0.0	0.0033112582781456954
HOZ	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NÁL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TÓL	0.006622516556291391	0.0	0.0	0.0033112582781456954	0.0	0.0	0.0	0.0033112582781456954	0.0	0.0	0.006622516556291391

Az argumentumtípusok feltételes valószínûségei.
sorcímke: A; oszlopcímke: B; cellatartalom: P(B|A)
	dat	BA	BAN	BÓL	RA	ON	RÓL	HOZ	NÁL	TÓL
dat	1.0	0.0	0.12121212121212122	0.0	0.0	0.06060606060606061	0.21212121212121213	0.0	0.0	0.0
BA	0.0	1.0	0.0	0.0	0.0	0.25	1.0	0.0	0.0	0.0
BAN	0.19047619047619047	0.0	1.0	0.0	0.0	0.047619047619047616	0.42857142857142855	0.0	0.0	0.047619047619047616
BÓL	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
RA	-	-	-	-	-	-	-	-	-	-
ON	0.15384615384615385	0.07692307692307693	0.07692307692307693	0.0	0.0	1.0	0.6153846153846154	0.0	0.0	0.0
RÓL	0.044585987261146494	0.025477707006369428	0.05732484076433121	0.0	0.0	0.050955414012738856	1.0	0.0	0.0	0.006369426751592357
HOZ	-	-	-	-	-	-	-	-	-	-
NÁL	-	-	-	-	-	-	-	-	-	-
TÓL	0.0	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	1.0


********************************************************
Az argumentumtípusok elõfordulási számai és együttelõfordulási számai az 1 variáns esetében.
	-	dat	BA	BAN	BÓL	RA	ON	RÓL	HOZ	NÁL	TÓL
dat	33.0	33.0	0.0	4.0	0.0	0.0	2.0	7.0	0.0	0.0	0.0
BA	4.0	0.0	4.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0
BAN	21.0	4.0	0.0	21.0	0.0	0.0	1.0	9.0	0.0	0.0	1.0
BÓL	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
RA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ON	13.0	2.0	1.0	1.0	0.0	0.0	13.0	8.0	0.0	0.0	0.0
RÓL	157.0	7.0	4.0	9.0	0.0	0.0	8.0	157.0	0.0	0.0	1.0
HOZ	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NÁL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TÓL	2.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0

Az argumentumtípusok elõfordulási gyakorisága és együttelõfordulási gyakoriságai az 1 variáns esetében.
	-	dat	BA	BAN	BÓL	RA	ON	RÓL	HOZ	NÁL	TÓL
dat	0.10927152317880795	0.10927152317880795	0.0	0.013245033112582781	0.0	0.0	0.006622516556291391	0.023178807947019868	0.0	0.0	0.0
BA	0.013245033112582781	0.0	0.013245033112582781	0.0	0.0	0.0	0.0033112582781456954	0.013245033112582781	0.0	0.0	0.0
BAN	0.0695364238410596	0.013245033112582781	0.0	0.0695364238410596	0.0	0.0	0.0033112582781456954	0.029801324503311258	0.0	0.0	0.0033112582781456954
BÓL	0.006622516556291391	0.0	0.0	0.0	0.006622516556291391	0.0	0.0	0.0	0.0	0.0	0.0
RA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ON	0.04304635761589404	0.006622516556291391	0.0033112582781456954	0.0033112582781456954	0.0	0.0	0.04304635761589404	0.026490066225165563	0.0	0.0	0.0
RÓL	0.5198675496688742	0.023178807947019868	0.013245033112582781	0.029801324503311258	0.0	0.0	0.026490066225165563	0.5198675496688742	0.0	0.0	0.0033112582781456954
HOZ	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NÁL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TÓL	0.006622516556291391	0.0	0.0	0.0033112582781456954	0.0	0.0	0.0	0.0033112582781456954	0.0	0.0	0.006622516556291391

Az argumentumtípusok feltételes valószínûségei az 1 variáns esetében.
sorcímke: A; oszlopcímke: B; cellatartalom: P(B|A)
	dat	BA	BAN	BÓL	RA	ON	RÓL	HOZ	NÁL	TÓL
dat	1.0	0.0	0.12121212121212122	0.0	0.0	0.06060606060606061	0.21212121212121213	0.0	0.0	0.0
BA	0.0	1.0	0.0	0.0	0.0	0.25	1.0	0.0	0.0	0.0
BAN	0.19047619047619047	0.0	1.0	0.0	0.0	0.047619047619047616	0.42857142857142855	0.0	0.0	0.047619047619047616
BÓL	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
RA	-	-	-	-	-	-	-	-	-	-
ON	0.15384615384615385	0.07692307692307693	0.07692307692307693	0.0	0.0	1.0	0.6153846153846154	0.0	0.0	0.0
RÓL	0.044585987261146494	0.025477707006369428	0.05732484076433121	0.0	0.0	0.050955414012738856	1.0	0.0	0.0	0.006369426751592357
HOZ	-	-	-	-	-	-	-	-	-	-
NÁL	-	-	-	-	-	-	-	-	-	-
TÓL	0.0	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	1.0
